yearID,teamID,lgID,divID,G,W,R,RA,payroll,log_payroll,payroll_z_by_year,W_pct,pythag_win_pct
1997,ANA,AL,W,162,84,829.0,794.0,31135472,17.2538583059618,-0.4757174299415338,0.5185185185185185,0.5215549789515943
1998,ANA,AL,W,162,85,787.0,783.0,41281000,17.535912903650367,0.11351420749677353,0.5246913580246914,0.5025477541628194
1999,ANA,AL,W,162,70,711.0,826.0,55388166,17.82987651879132,0.44188607241367656,0.43209876543209874,0.4255954510745523
2000,ANA,AL,W,162,82,864.0,869.0,51464167,17.756396337054497,0.027756487586084233,0.5061728395061729,0.49711485379151166
2001,ANA,AL,W,162,75,691.0,730.0,47535167,17.676980352969895,-0.6149967838794941,0.46296296296296297,0.4725751968811765
2002,ANA,AL,W,162,99,851.0,644.0,61721667,17.93814559416773,-0.0709679795176315,0.6111111111111112,0.6358569437993498
2003,ANA,AL,W,162,77,736.0,743.0,79031667,18.185359178214423,0.4587518282091723,0.47530864197530864,0.49526717836424394
2004,ANA,AL,W,162,92,836.0,734.0,100534667,18.426013171257093,1.084073990371365,0.5679012345679012,0.5646950839169653
1998,ARI,NL,W,162,65,665.0,812.0,32347000,17.292031838907718,-0.44386480140848367,0.4012345679012346,0.4014501134291179
1999,ARI,NL,W,162,100,908.0,676.0,68703999,18.04531796510545,0.9144874679676621,0.6172839506172839,0.6433886877263079
2000,ARI,NL,W,162,85,792.0,754.0,81027833,18.210303270897764,1.0389766734336792,0.5246913580246914,0.5245647192627406
2001,ARI,NL,W,162,92,818.0,677.0,85082999,18.25913779685232,0.8530863305642608,0.5679012345679012,0.5934828325437956
2002,ARI,NL,W,162,98,819.0,674.0,102819999,18.4484904348659,1.358828059757414,0.6049382716049383,0.5962123912369104
2003,ARI,NL,W,162,84,717.0,685.0,80657000,18.205716153561355,0.5093423106192224,0.5185185185185185,0.5228126519097663
2004,ARI,NL,W,162,51,615.0,899.0,69780750,18.06086874173049,0.2468872248881884,0.3148148148148148,0.31879358678923087
2005,ARI,NL,W,162,77,696.0,856.0,62329166,17.94794002830084,-0.1780218976736636,0.47530864197530864,0.39799137659059836
2006,ARI,NL,W,162,76,773.0,788.0,59684226,17.904578322344758,-0.38205119097695617,0.4691358024691358,0.4903916623511559
2007,ARI,NL,W,162,90,712.0,732.0,52067546,17.768052395163494,-0.8526035475679752,0.5555555555555556,0.4861522409586792
2008,ARI,NL,W,162,82,720.0,706.0,66202712,18.008231986835494,-0.4828517251356387,0.5061728395061729,0.5098167256076693
2009,ARI,NL,W,162,70,720.0,782.0,73115666,18.107553210924603,-0.3656986648520032,0.43209876543209874,0.4587919187485176
2010,ARI,NL,W,162,65,713.0,836.0,60718166,17.92175348637942,-0.8084646631784701,0.4012345679012346,0.4210914753595938
2011,ARI,NL,W,162,94,731.0,662.0,53639833,17.79780250302466,-1.0452720014671617,0.5802469135802469,0.5494121457323374
2012,ARI,NL,W,162,81,734.0,688.0,73804833,18.116934775231346,-0.6588560230868435,0.5,0.5323149886374864
2013,ARI,NL,W,162,81,685.0,695.0,90132000,18.31678582045615,0.006260369403459109,0.5,0.49275400367550537
2014,ARI,NL,W,162,64,615.0,742.0,97861500,18.3990637717274,-0.01910785593035014,0.3950617283950617,0.4072238150968627
2015,ARI,NL,W,162,79,720.0,713.0,61834000,17.93996393295669,-1.795541254188534,0.4876543209876543,0.5048847403846435
2016,ARI,NL,W,162,69,752.0,890.0,87439063,18.286452685855654,-0.7638215233949011,0.42592592592592593,0.41654562007772516
1985,ATL,NL,W,162,66,632.0,781.0,14807000,16.510610599890857,1.5803919579161672,0.4074074074074074,0.3957102592172461
1986,ATL,NL,W,161,72,615.0,719.0,17102786,16.654751932178826,1.4723940570066774,0.4472049689440994,0.42250995882419967
1987,ATL,NL,W,161,69,747.0,829.0,16544560,16.62156790484702,0.9411400889838998,0.42857142857142855,0.4481100180686609
1988,ATL,NL,W,160,54,555.0,741.0,12728174,16.35932851955371,0.45393845433639446,0.3375,0.35937795325198985
1989,ATL,NL,W,161,63,584.0,680.0,11112334,16.223566220559988,-0.6965892048707946,0.391304347826087,0.4244862195316234
1990,ATL,NL,W,162,65,682.0,821.0,14555501,16.49347955573058,-0.5674736996381672,0.4012345679012346,0.4083025724982772
1991,ATL,NL,W,162,94,749.0,644.0,18403500,16.728051421881485,-0.6769640213717082,0.5802469135802469,0.5749510370109978
1992,ATL,NL,W,162,98,682.0,569.0,34625333,17.36009613975405,0.4647632854597435,0.6049382716049383,0.5895967092795528
1993,ATL,NL,W,162,104,767.0,559.0,41641417,17.544605830911102,0.9093241790950419,0.6419753086419753,0.6530956848030018
1994,ATL,NL,E,114,68,542.0,448.0,49383513,17.715127181513644,1.5639275093417433,0.5964912280701754,0.5941011349571661
1995,ATL,NL,E,144,90,645.0,540.0,47235445,17.6706551221212,1.179431073133012,0.625,0.5879173290937997
1996,ATL,NL,E,162,96,773.0,648.0,49698500,17.72148530952488,1.3274816776513123,0.5925925925925926,0.5872907601778201
1997,ATL,NL,E,162,101,791.0,581.0,52278500,17.77209575464839,0.8222896005789199,0.6234567901234568,0.6495574320887171
1998,ATL,NL,E,162,106,826.0,581.0,61186000,17.92942896314348,1.0128771468050206,0.654320987654321,0.6690049488300581
1999,ATL,NL,E,162,103,840.0,661.0,73140000,18.10788597068551,1.0517392700700763,0.6358024691358025,0.6175816462016891
2000,ATL,NL,E,162,95,810.0,714.0,84537836,18.252709755424934,1.1334504299846535,0.5864197530864198,0.5627431606249614
2001,ATL,NL,E,162,88,729.0,643.0,91936166,18.33660504636342,1.0484430371129096,0.5432098765432098,0.5624368974166305
2002,ATL,NL,E,161,101,708.0,565.0,92870367,18.346715175504908,1.0736917144355684,0.6273291925465838,0.6109332361555121
2003,ATL,NL,E,162,101,907.0,740.0,106243667,18.481245759286487,1.194079381541026,0.6234567901234568,0.6003646052651744
2004,ATL,NL,E,162,96,803.0,668.0,90182500,18.317345952906066,0.8349266675892647,0.5925925925925926,0.591007788032076
2005,ATL,NL,E,162,90,769.0,674.0,86457302,18.275161231535282,0.6328458761237924,0.5555555555555556,0.5655509512383361
2006,ATL,NL,E,162,79,849.0,805.0,90156876,18.317061777583508,0.5372273357117455,0.4876543209876543,0.52658336413832
2007,ATL,NL,E,162,84,810.0,733.0,87290833,18.284756009568966,0.32725760977227797,0.5185185185185185,0.5497788231666288
2008,ATL,NL,E,162,72,753.0,778.0,102365683,18.44406208744897,0.509443672592625,0.4444444444444444,0.4836751562962502
2009,ATL,NL,E,162,86,735.0,641.0,96726166,18.387394513272714,0.4188080685536845,0.5308641975308642,0.5679966270846782
