playerID,awardID,yearID,lgID,tie,notes
aloufe01,BBWAA Manager of the Year,1994,NL,,
aloufe01,TSN Manager of the Year,1994,NL,,
alstowa01,TSN Manager of the Year,1955,ML,,
alstowa01,TSN Manager of the Year,1959,ML,,
alstowa01,TSN Manager of the Year,1963,ML,,
andersp01,BBWAA Manager of the Year,1984,AL,,
andersp01,BBWAA Manager of the Year,1987,AL,,
andersp01,TSN Manager of the Year,1987,AL,,
bakerdu01,BBWAA Manager of the Year,1993,NL,,
bakerdu01,BBWAA Manager of the Year,1997,NL,,
bakerdu01,BBWAA Manager of the Year,2000,NL,,
bakerdu01,This Year in Baseball Manager of the Year,2003,ML,,MLB.com GIBBY
bakerdu01,TSN Manager of the Year,1997,NL,,
bakerdu01,TSN Manager of the Year,2000,NL,,
baldero01,BBWAA Manager of the Year,2019,AL,,
bambege01,TSN Manager of the Year,1978,ML,,
banisje01,BBWAA Manager of the Year,2015,AL,,
bauerha01,TSN Manager of the Year,1966,ML,,
baylodo01,BBWAA Manager of the Year,1995,NL,,
baylodo01,TSN Manager of the Year,1995,NL,,
blackbu01,TSN Manager of the Year,2010,NL,,
blackbu02,BBWAA Manager of the Year,2010,NL,,
bluegos01,TSN Manager of the Year,1945,ML,,
bochybr01,BBWAA Manager of the Year,1996,NL,,
bochybr01,This Year in Baseball Manager of the Year,2010,ML,,MLB.com GIBBY
bochybr01,This Year in Baseball Manager of the Year,2014,ML,,MLB.com GIBBY
bochybr01,TSN Manager of the Year,1996,NL,,
bochybr01,TSN Manager of the Year,1998,NL,,
bowala01,BBWAA Manager of the Year,2001,NL,,
bowala01,TSN Manager of the Year,2001,NL,,
cashke01,BBWAA Manager of the Year,2020,AL,,
cashke01,BBWAA Manager of the Year,2021,AL,,
cashke01,TSN Manager of the Year,2019,AL,,
cashke01,TSN Manager of the Year,2020,AL,,
cashke01,TSN Manager of the Year,2021,AL,,
collite99,TSN Manager of the Year,2015,NL,,
counscr01,TSN Manager of the Year,2017,NL,,
counscr01,TSN Manager of the Year,2018,NL,Y,
counscr01,TSN Manager of the Year,2023,NL,Y,
coxbo01,BBWAA Manager of the Year,1985,AL,,
coxbo01,BBWAA Manager of the Year,1991,NL,,
coxbo01,BBWAA Manager of the Year,2004,NL,,
coxbo01,BBWAA Manager of the Year,2005,NL,,
coxbo01,TSN Manager of the Year,1985,ML,,
coxbo01,TSN Manager of the Year,1991,NL,,
coxbo01,TSN Manager of the Year,1993,NL,,
coxbo01,TSN Manager of the Year,1999,NL,,
coxbo01,TSN Manager of the Year,2002,NL,,
coxbo01,TSN Manager of the Year,2003,NL,,
coxbo01,TSN Manager of the Year,2004,NL,,
coxbo01,TSN Manager of the Year,2005,NL,,
dierkla01,BBWAA Manager of the Year,1998,NL,,
durocle01,TSN Manager of the Year,1939,ML,,
durocle01,TSN Manager of the Year,1951,ML,,
durocle01,TSN Manager of the Year,1954,ML,,
dyered01,TSN Manager of the Year,1946,ML,,
farrejo03,This Year in Baseball Manager of the Year,2013,ML,,MLB.com GIBBY
farrejo03,TSN Manager of the Year,2013,AL,,
foxch01,TSN Manager of the Year,1971,ML,,
francte01,BBWAA Manager of the Year,2013,AL,,
francte01,BBWAA Manager of the Year,2016,AL,,
francte01,BBWAA Manager of the Year,2022,AL,,
francte01,This Year in Baseball Manager of the Year,2004,ML,,MLB.com GIBBY
francte01,TSN Manager of the Year,2016,AL,,
francte01,TSN Manager of the Year,2017,AL,,
freyji99,BBWAA Manager of the Year,1984,NL,,
freyji99,TSN Manager of the Year,1984,ML,,
gardero01,BBWAA Manager of the Year,2010,AL,,
gardero01,TSN Manager of the Year,2004,AL,Y,
gardero01,TSN Manager of the Year,2010,AL,,
gibsoki01,BBWAA Manager of the Year,2011,NL,,
