playerID,awardID,yearID,lgID,tie,notes
aaronha01,Gold Glove,1958,NL,,RF
aaronha01,Gold Glove,1959,NL,,RF
aaronha01,Gold Glove,1960,NL,,RF
aaronha01,Lou Gehrig Memorial Award,1970,ML,,
aaronha01,Most Valuable Player,1957,NL,,
aaronha01,Player of the Week,1973,NL,,Week of 1973-07-20
aaronha01,Player of the Week,1973,NL,,Week of 1973-08-17
aaronha01,Player of the Week,1973,NL,Y,Week of 1973-09-07
aaronha01,Player of the Week,1974,NL,,Week of 1974-04-12
aaronha01,TSN All-Star,1956,ML,,OF
aaronha01,TSN All-Star,1958,ML,,OF
aaronha01,TSN All-Star,1959,ML,,OF
aaronha01,TSN All-Star,1963,NL,,OF
aaronha01,TSN All-Star,1965,NL,,OF
aaronha01,TSN All-Star,1967,NL,,OF
aaronha01,TSN All-Star,1969,NL,,OF
aaronha01,TSN All-Star,1970,NL,,OF
aaronha01,TSN All-Star,1971,NL,,OF
aaronha01,TSN Player of the Year,1956,NL,,
aaronha01,TSN Player of the Year,1963,NL,,
aasedo01,Pitcher of the Month,1986,AL,,May
aasedo01,Player of the Week,1977,AL,,Week of 1977-07-29
abbotji01,Hutch Award,1995,ML,,
abbotji01,Player of the Week,1993,AL,,Week of 1993-09-04
abbotji01,TSN All-Star,1991,AL,,LHP
abernte02,TSN Fireman of the Year,1965,NL,,
abernte02,TSN Fireman of the Year,1967,NL,,
abramcj01,Player of the Week,2023,NL,,Week of 2023-07-15
abreubo01,Gold Glove,2005,NL,,OF
abreubo01,Player of the Month,2005,NL,,May
abreubo01,Player of the Month,2009,AL,,July
abreubo01,Player of the Week,2001,NL,,Week of 2001-06-02
abreubo01,Player of the Week,2004,NL,,Week of 2004-07-03
abreubo01,Player of the Week,2005,NL,,Week of 2005-05-14
abreubo01,Player of the Week,2010,AL,,Week of 2010-08-15
abreubo01,Silver Slugger,2004,NL,,OF
abreujo02,All-MLB Team - Second Team,2020,ML,,1B
abreujo02,Hank Aaron Award,2020,AL,,
abreujo02,MLB Players Choice Outstanding Player,2020,AL,,
abreujo02,MLB Players Choice Outstanding Rookie,2014,AL,,
abreujo02,Most Valuable Player,2020,AL,,
abreujo02,Player of the Month,2014,AL,,April
abreujo02,Player of the Month,2014,AL,,July
abreujo02,Player of the Month,2020,AL,,August
abreujo02,Player of the Month,2021,AL,,August
abreujo02,Player of the Week,2014,AL,Y,Week of 2014-04-27
abreujo02,Player of the Week,2015,AL,Y,Week of 2015-08-02
abreujo02,Player of the Week,2015,AL,Y,Week of 2015-09-20
