ID,parkalias,parkkey,parkname,city,state,country
256,Greenbush Grounds,ALB01,Riverside Park,Rensselaer,NY,US
257,Fourth Avenue Grounds,ALT01,Columbia Park,Altoona,PA,US
258,Edison Field; Anaheim Stadium,ANA01,Angel Stadium of Anaheim,Anaheim,CA,US
259,,ARL01,Arlington Stadium,Arlington,TX,US
260,The Ballpark in Arlington; Ameriquest Field in Arlington; Rangers Ballpark in Arlington,ARL02,Globe Life Park in Arlington,Arlington,TX,US
261,Fulton County Stadium; Atlanta Stadium,ATL01,Atlanta-Fulton County Stadium,Atlanta,GA,US
262,Centennial Olympic Stadium,ATL02,Turner Field,Atlanta,GA,US
263,SunTrust Park,ATL03,Truist Park,Atlanta,GA,US
264,Monumental Park,BAL01,Madison Avenue Grounds,Baltimore,MD,US
265,,BAL02,Newington Park,Baltimore,MD,US
266,Huntingdon Avenue Park; American Association Park,BAL03,Oriole Park I,Baltimore,MD,US
267,Union Park; Union Association Grounds,BAL04,Belair Lot,Baltimore,MD,US
269,,BAL06,Oriole Park II,Baltimore,MD,US
270,Union Park,BAL07,Oriole Park III,Baltimore,MD,US
271,American League Park,BAL09,Oriole Park IV,Baltimore,MD,US
272,Oriole Park V,BAL10,Terrapin Park,Baltimore,MD,US
273,Baltimore Memorial Stadium,BAL11,Memorial Stadium,Baltimore,MD,US
274,Camden Yards,BAL12,Oriole Park at Camden Yards,Baltimore,MD,US
275,Walpole Street Grounds; Union Baseball Grounds; Boston National League Base Ball Park; Boston Base Ball Grounds,BOS01,South End Grounds I,Boston,MA,US
276,Union Park; Union Athletic Grounds; Union Grounds,BOS02,Dartmouth Grounds,Boston,MA,US
277,Grand Pavilion,BOS03,South End Grounds II,Boston,MA,US
278,,BOS04,Congress Street Grounds,Boston,MA,US
279,Boston National League Base Ball Park,BOS05,South End Grounds III,Boston,MA,US
280,,BOS06,Huntington Avenue Baseball Grounds,Boston,MA,US
281,,BOS07,Fenway Park,Boston,MA,US
282,National League Park,BOS08,Braves Field,Boston,MA,US
283,Riverside Park,BUF01,Riverside Grounds,Buffalo,NY,US
284,,BUF02,Olympic Park I,Buffalo,NY,US
