franchID,franchName,active,NAassoc
AB,Algona Brownies,N,
AB2,Indianapolis ABCs,N,
ABC,Indianapolis ABCs,N,
AC1,All Cubans,N,
AC2,All Cubans,N,
ACG,Akron Grays / Cleveland Giants,N,
ALT,Altoona Mountain City,N,
ANA,Los Angeles Angels of Anaheim,Y,
ARI,Arizona Diamondbacks,Y,
ATH,Philadelphia Athletics,N,PNA
ATL,Atlanta Braves,Y,BNA
BAL,Baltimore Orioles,Y,
BBB,Birmingham Black Barons,N,
BBS,Baltimore Black Sox,N,
BCA,Atlanta Black Crackers,N,
BEG,Baltimore Elite Giants,N,
BFB,Buffalo Bisons,N,
BFL,Buffalo Bisons,N,
BG1,Atlantic City Bacharach Giants,N,
BG2,Atlantic City Bacharach Giants,N,
BLC,Baltimore Canaries,NA,
BLO,Baltimore Orioles,N,
BLT,Baltimore Terrapins,N,
BLU,Baltimore Monumentals,N,
BNA,Boston Red Stockings,NA,ATL
BOS,Boston Red Sox,Y,
BR2,Brooklyn Royal Giants,N,
BRA,Brooklyn Atlantics,NA,
BRD,Boston Reds,N,
BRG,Brooklyn Gladiators,N,
BRS,Boston Reds,N,
BTT,Brooklyn Tip-Tops,N,
BUF,Buffalo Bisons,N,
BWW,Brooklyn Ward's Wonders,N,
CAG,Chicago American Giants,N,
CBB,Columbus Blue Birds,N,
CBE,Cleveland Buckeyes,N,
CBG,Cuban Giants,N,
CBK,Columbus Buckeyes,N,
CBL,Cleveland Blues,N,
CBN,Cleveland Browns,N,
CCG,Chicago Columbia Giants,N,
CEL,Cleveland Elites,N,
CEN,Philadelphia Centennials,NA,
CFC,Cleveland Forest Citys,NA,
CHC,Chicago Cubs,Y,CNA
CHH,Chicago Whales,N,
CHP,Chicago Pirates,N,
CHT,Cleveland Hornets,N,
CHW,Chicago White Sox,Y,
CIN,Cincinnati Reds,Y,
CIU,Chicago Unions,N,
CKK,Cincinnati Kelly's Killers,N,
CL2,Cleveland Stars,N,
CLE,Cleveland Indians,Y,
CLI,Cleveland Infants,N,
CLS,Columbus Solons,N,
CLV,Cleveland Spiders,N,
CNA,Chicago White Stockings,NA,CHC
CNR,Cincinnati Reds,N,
COB,Columbus Buckeyes,N,
COG,Chicago Giants,N,
COL,Colorado Rockies,Y,
COR,Cincinnati Outlaw Reds,N,
COT,Columbus Turf Club,N,
CPI,Chicago/Pittsburgh (Union League),N,
CRS,Cleveland Red Sox,N,
CSE,Cuban Stars East,N,
CSW,Cuban Stars West,N,
CT,Cincinnati Tigers,N,
CTG,Cleveland Tigers,N,
CTS,Cleveland Tate Stars,N,
CUP,Pollock's Cuban Stars,N,
CXG,Cuban X Giants,N,
DET,Detroit Tigers,Y,
DS,Detroit Stars,N,
DTN,Detroit Wolverines,N,
DTS,Detroit Stars,N,
DW,Detroit Wolves,N,
DYM,Dayton Marcos,N,
ECK,Brooklyn Eckfords,NA,
FLA,Florida Marlins,Y,
FLP,French Lick Plutos,N,
GOR,New York Gorhams,N,
HAR,Hartford Dark Blues,N,HNA
HBG,Harrisburg Giants,N,
HG,Homestead Grays,N,
HIL,Hilldale Club,N,
HNA,Hartford Dark Blues,NA,HAR
HOU,Houston Astros,Y,
IA,Indianapolis Athletics,N,
IBL,Indianapolis Blues,N,
IC,Cincinnati-Indianapolis Clowns,N,
IHO,Indianapolis Hoosiers,N,
IND,Indianapolis Hoosiers,N,
JRC,Jacksonville Red Caps,N,
KCC,Kansas City Cowboys,N,
KCG,Kansas City Giants,N,
KCM,Kansas City Monarchs,N,
KCN,Kansas City Cowboys,N,
KCP,Kansas City Packers,N,
KCR,Kansas City Royals,Y,
KCU,Kansas City Cowboys,N,
KEK,Fort Wayne Kekiongas,NA,
KRG,Kansas City Royal Giants,N,
LAD,Los Angeles Dodgers,Y,
LEL,Chicago Leland Giants,N,
